year,lat,lon,Gear
2019,-8.417365,126.42219,Hand Line
2019,-8.42762,126.44867,Hand Line
2019,-8.42119,126.433855,Hand Line
2019,-8.42741,126.448635,Hand Line
2019,-8.419,126.42698,Hand Line
2019,-8.42481,126.44359,Hand Line
2019,-8.42568,126.447185,Hand Line
2019,-8.429615,126.44895,Hand Line
2019,-8.42523,126.444805,Hand Line
2019,-8.42401,126.44357,Hand Line
2019,-8.43198,126.45241,Hand Line
2019,-8.4221,126.4384,Hand Line
2019,-8.42907,126.44635,Hand Line
2019,-8.42269,126.4267,Hand Line
2019,-8.42318,126.39997,Hand Line
2019,-8.42381,126.442625,Hand Line
2019,-8.42142,126.436235,Hand Line
2019,-8.42787,126.44702,Hand Line
2019,-8.42093,126.43353,Hand Line
2019,-8.42211,126.43819,Hand Line
2019,-8.42725,126.44836,Hand Line
2019,-8.42854,126.44831,Hand Line
2019,-8.432795,126.452095,Hand Line
2019,-8.42653,126.44688,Hand Line
2019,-8.43091,126.44913,Hand Line
2019,-8.42461,126.44276,Hand Line
2020,-8.431,126.448375,Hand Line
2020,-8.423935,126.44308,Hand Line
2020,-8.43278,126.4512,Hand Line
2020,-8.42167,126.43839,Hand Line
2020,-8.4262,126.44627,Hand Line
2020,-8.4321,126.45291,Hand Line
2020,-8.423705,126.44153,Hand Line
2020,-8.42051,126.432165,Hand Line
2020,-8.42304,126.44101,Hand Line
2020,-8.42034,126.43,Hand Line
2020,-8.42168,126.43777,Hand Line
2020,-8.428355,126.445515,Hand Line
2020,-8.42043,126.42985,Hand Line
2020,-8.43088,126.44779,Hand Line
2020,-8.42645,126.44513,Hand Line
2020,-8.43014,126.44729,Hand Line
2020,-8.42251,126.43998,Hand Line
2020,-8.417945,126.42487,Hand Line
2020,-8.43339,126.454195,Hand Line
2020,-8.43145,126.450535,Hand Line
2020,-8.42076,126.43211,Hand Line
2020,-8.43576,126.45824,Hand Line
2020,-8.42059,126.43403,Hand Line
2020,-8.42119,126.438,Hand Line
2020,-8.41934,126.42716,Hand Line
2020,-8.4197,126.42724,Gill Net
2020,-8.42912,126.4487,Hand Line
2020,-8.43696,126.46323,Hand Line
2020,-8.43625,126.45976,Hand Line
2020,-8.42293,126.425165,Gill Net
2020,-8.422205,126.43982,Hand Line
2020,-8.43464,126.45321,Hand Line
2020,-8.42073,126.43324,Hand Line
2020,-8.43447,126.45538,Hand Line
2020,-8.42127,126.43668,Hand Line
2020,-8.43179,126.448665,Hand Line
2020,-8.42858,126.447975,Hand Line
2020,-8.43759,126.46152,Hand Line
2020,-8.43054,126.44792,Hand Line
2020,-8.43695,126.46094,Hand Line
2020,-8.42183,126.436775,Hand Line
2020,-8.43206,126.448815,Hand Line
2020,-8.42547,126.44452,Hand Line
2020,-8.43296,126.45303,Hand Line
2020,-8.42173,126.43939,Hand Line
2020,-8.42138,126.43988,Hand Line
2020,-8.41893,126.42576,Hand Line
2020,-8.430815,126.44811,Hand Line
2020,-8.42776,126.44686,Hand Line
2020,-8.43409,126.45248,Hand Line
2020,-8.42798,126.44542,Hand Line
2020,-8.43538,126.45627,Hand Line
2020,-8.43636,126.45852,Hand Line
2020,-8.420125,126.430915,Hand Line
2020,-8.4317,126.45233,Hand Line
2020,-8.42085,126.44003,Hand Line
2020,-8.429525,126.45111,Hand Line
2020,-8.42212,126.40162,Hand Line
2020,-8.41974,126.42834,Gill Net
2020,-8.43133,126.45304,Hand Line
2020,-8.42023,126.43234,Hand Line
2020,-8.42456,126.44403,Hand Line
2020,-8.41909,126.42485,Hand Line
2020,-8.4312,126.44934,Hand Line
2020,-8.43216,126.45439,Hand Line
2020,-8.41702,126.42111,Hand Line
2020,-8.43465,126.45647,Hand Line
2020,-8.4201,126.41731,Hand Line
2020,-8.41721,126.42369,Hand Line
2020,-8.41755,126.42239,Hand Line
2020,-8.418795,126.418135,Hand Line
2020,-8.42846,126.44805,Hand Line
2020,-8.42095,126.41427,Hand Line
2020,-8.42094,126.43806,Hand Line
2020,-8.420945,126.43321,Hand Line
2020,-8.42579,126.445665,Hand Line
2020,-8.417355,126.40997,Hand Line
2020,-8.41713,126.41387,Hand Line
2020,-8.43287,126.45294,Hand Line
2020,-8.4266,126.44726,Hand Line
2020,-8.42919,126.448505,Hand Line
2020,-8.43027,126.44961,Hand Line
2020,-8.42059,126.43136,Hand Line
2020,-8.41899,126.426455,Hand Line
2020,-8.43006,126.44915,Hand Line
2020,-8.42239,126.44023,Hand Line
2020,-8.43304,126.451465,Hand Line
2020,-8.43037,126.44938,Hand Line
2019,-8.42515,126.45789,Hand Line
2019,-8.4356,126.461655,Hand Line
2019,-8.43867,126.469205,Hand Line
2019,-8.43803,126.46592,Hand Line
2019,-8.43507,126.46001,Hand Line
2019,-8.440885,126.476495,Hand Line
2019,-8.4388,126.46635,Hand Line
2020,-8.43781,126.49699,Gill Net
2020,-8.43014,126.45393,Hand Line
2020,-8.44022,126.47222,Hand Line
2020,-8.43272,126.45616,Hand Line
2020,-8.44152,126.47668,Hand Line
2020,-8.43492,126.46363,Hand Line
2020,-8.44446,126.485955,Hand Line
2020,-8.4417,126.47603,Hand Line
2020,-8.439965,126.47147,Hand Line
2020,-8.43937,126.47491,Hand Line
2020,-8.43399,126.46212,Hand Line
2020,-8.43967,126.47192,Hand Line
2020,-8.44362,126.49031,Hand Line
2020,-8.44283,126.48833,Gill Net
2020,-8.43672,126.46618,Hand Line
2020,-8.44054,126.47383,Hand Line
2020,-8.44098,126.47374,Hand Line
2020,-8.43638,126.45994,Hand Line
2020,-8.440425,126.46923,Hand Line
2020,-8.43485,126.46201,Hand Line
2020,-8.4396,126.468835,Hand Line
2020,-8.43821,126.46932,Hand Line
2020,-8.44037,126.479045,Hand Line
2020,-8.44144,126.48367,Gill Net
2020,-8.439595,126.468495,Hand Line
2020,-8.43625,126.466285,Hand Line
2020,-8.44146,126.48277,Hand Line
2020,-8.442,126.4882,Gill Net
2020,-8.438915,126.471725,Hand Line
2020,-8.438475,126.46942,Hand Line
2020,-8.43745,126.46617,Hand Line
2020,-8.43731,126.46191,Hand Line
2020,-8.4319,126.45489,Hand Line
2020,-8.44158,126.48141,Gill Net
2020,-8.43552,126.46696,Hand Line
2020,-8.44172,126.47992,Hand Line
2020,-8.44222,126.48984,Gill Net
2020,-8.44356,126.49089,Gill Net
2020,-8.43516,126.46094,Hand Line
2020,-8.44025,126.46605,Hand Line
2020,-8.441,126.48325,Hand Line
2020,-8.43972,126.47527,Hand Line
2020,-8.43976,126.47879,Hand Line
2020,-8.43942,126.47277,Hand Line
2020,-8.43795,126.46766,Hand Line
2020,-8.42814,126.450725,Hand Line
2020,-8.44002,126.468345,Hand Line
2020,-8.42754,126.45213,Hand Line
2020,-8.4415,126.4734,Hand Line
2020,-8.43581,126.46367,Hand Line
2020,-8.43914,126.475485,Hand Line
2020,-8.43252,126.45544,Hand Line
2020,-8.44241,126.47309,Hand Line
2020,-8.43825,126.47215,Hand Line
2020,-8.443215,126.49058,Gill Net
2020,-8.43736,126.47043,Hand Line
2020,-8.44038,126.47037,Hand Line
2020,-8.44886,126.51856,Hand Line
2020,-8.44261,126.482945,Hand Line
2020,-8.4491,126.52073,Hand Line
2020,-8.44293,126.48129,Gill Net
2020,-8.44168,126.52139,Hand Line
2020,-8.44174,126.49023,Gill Net
2020,-8.44355,126.52085,Hand Line
2020,-8.434815,126.46014,Hand Line
2020,-8.44003,126.49285,Hand Line
2020,-8.44189,126.48236,Gill Net
2020,-8.445275,126.503975,Gill Net
2020,-8.44003,126.47303,Hand Line
2020,-8.43887,126.47761,Hand Line
2020,-8.44409,126.4867,Gill Net
2020,-8.439175,126.478635,Hand Line
2020,-8.44126,126.47962,Hand Line
2020,-8.44142,126.48835,Gill Net
2020,-8.43991,126.48818,Gill Net
2020,-8.44212,126.48357,Hand Line
2020,-8.43891,126.46318,Hand Line
2020,-8.43104,126.454855,Hand Line
2020,-8.44021,126.47037,Hand Line
2020,-8.43125,126.45305,Hand Line
2020,-8.43435,126.48067,Hand Line
2020,-8.42777,126.46737,Hand Line
2020,-8.43195,126.48862,Gill Net
2020,-8.43793,126.46605,Hand Line
2020,-8.4476,126.50953,Gill Net
2020,-8.43867,126.47162,Hand Line
2020,-8.427235,126.4517,Hand Line
2020,-8.422645,126.44893,Hand Line
2020,-8.4269,126.45068,Hand Line
2020,-8.43458,126.46025,Hand Line
2020,-8.43871,126.466535,Hand Line
2020,-8.44207,126.48508,Hand Line
2020,-8.42746,126.44897,Hand Line
2020,-8.42632,126.44838,Hand Line
2020,-8.42884,126.45158,Hand Line
2020,-8.43547,126.4614,Hand Line
2020,-8.42824,126.45108,Hand Line
2020,-8.44073,126.47703,Gill Net
2020,-8.43028,126.45493,Hand Line
2020,-8.42745,126.45057,Hand Line
2020,-8.43033,126.45657,Hand Line
2020,-8.42652,126.45132,Hand Line
2020,-8.43659,126.464785,Hand Line
2020,-8.43287,126.45922,Hand Line
2020,-8.43922,126.47464,Gill Net
2020,-8.43265,126.4546,Hand Line
2020,-8.43187,126.45451,Hand Line
2020,-8.43129,126.45426,Hand Line
2020,-8.4286,126.4516,Hand Line
2020,-8.43522,126.460555,Hand Line
2020,-8.42734,126.44938,Hand Line
2020,-8.43717,126.46406,Hand Line
2020,-8.42559,126.45826,Hand Line
2020,-8.43507,126.46171,Hand Line
2020,-8.44042,126.481,Hand Line
2020,-8.43039,126.45755,Hand Line
2020,-8.43506,126.46033,Hand Line
2020,-8.4275,126.450375,Hand Line
2020,-8.434105,126.45918,Hand Line
2020,-8.42745,126.45111,Hand Line
2020,-8.43718,126.46798,Hand Line
2020,-8.43304,126.45624,Hand Line
2020,-8.43296,126.4759,Hand Line
2020,-8.43439,126.464595,Hand Line
2020,-8.43576,126.47405,Hand Line
2020,-8.43862,126.469585,Hand Line
2020,-8.435,126.458965,Hand Line
2020,-8.42442,126.44824,Hand Line
2020,-8.43099,126.4537,Hand Line
2020,-8.44204,126.48832,Hand Line
2020,-8.44362,126.49697,Hand Line
2020,-8.432545,126.455055,Hand Line
2020,-8.43172,126.48437,Gill Net
2020,-8.4488,126.50364,Gill Net
2020,-8.42436,126.44638,Hand Line
2020,-8.42768,126.45183,Hand Line
2020,-8.42025,126.42777,Hand Line
2020,-8.42841,126.45333,Hand Line
2020,-8.42519,126.44988,Hand Line
2020,-8.42649,126.44945,Hand Line
2020,-8.42578,126.446555,Hand Line
2020,-8.4265,126.44855,Hand Line
2020,-8.43422,126.4595,Hand Line
2020,-8.42038,126.4139,Hand Line
2019,-8.42041,126.41662,Hand Line
2019,-8.4304,126.448315,Hand Line
2019,-8.42582,126.38203,Hand Line
2019,-8.42775,126.45533,Hand Line
2019,-8.435245,126.45436,Hand Line
2019,-8.42329,126.44181,Hand Line
2020,-8.42971,126.44722,Hand Line
2020,-8.4251,126.445445,Hand Line
2020,-8.43535,126.4542,Hand Line
2020,-8.43458,126.45309,Hand Line
2020,-8.43507,126.45385,Hand Line
2020,-8.43097,126.44817,Hand Line
2020,-8.43461,126.45306,Hand Line
2020,-8.43652,126.45683,Hand Line
2020,-8.43565,126.454665,Hand Line
2020,-8.434155,126.45223,Hand Line
2020,-8.4321,126.44963,Hand Line
2020,-8.43653,126.45672,Hand Line
2020,-8.43774,126.4631,Hand Line
2020,-8.43672,126.4586,Hand Line
2020,-8.43682,126.4591,Hand Line
2020,-8.43142,126.44825,Hand Line
2020,-8.43308,126.4508,Hand Line
2020,-8.436845,126.45965,Hand Line
2020,-8.43703,126.46025,Hand Line
2020,-8.43636,126.457425,Hand Line
2020,-8.43588,126.45756,Hand Line
2020,-8.43619,126.456535,Hand Line
2020,-8.4366,126.457985,Hand Line
2020,-8.43714,126.46036,Hand Line
2020,-8.43916,126.46363,Hand Line
2020,-8.434905,126.45664,Hand Line
2020,-8.43673,126.45905,Hand Line
2020,-8.4168,126.41847,Hand Line
2020,-8.44107,126.46801,Hand Line
2020,-8.41929,126.42959,Hand Line
2020,-8.43667,126.46125,Hand Line
2020,-8.43129,126.44801,Hand Line
2020,-8.42333,126.4497,Hand Line
2020,-8.43617,126.45555,Hand Line
2020,-8.43787,126.46124,Hand Line
2020,-8.43891,126.46277,Gill Net
2020,-8.432515,126.45418,Hand Line
2020,-8.4374,126.46073,Hand Line
2020,-8.43241,126.45411,Hand Line
2020,-8.44351,126.48002,Gill Net
2020,-8.44267,126.47246,Hand Line
2020,-8.42266,126.44617,Hand Line
2020,-8.4364,126.459545,Hand Line
2020,-8.426155,126.4432,Hand Line
2020,-8.43812,126.46135,Hand Line
2020,-8.4346,126.453,Hand Line
2020,-8.44049,126.4817,Hand Line
2020,-8.4321,126.45076,Hand Line
2020,-8.43116,126.44863,Hand Line
2020,-8.43129,126.4483,Hand Line
2020,-8.43829,126.461855,Hand Line
2020,-8.4292,126.44937,Hand Line
2020,-8.433935,126.45214,Hand Line
2020,-8.43655,126.45818,Hand Line
2020,-8.42943,126.44653,Hand Line
2020,-8.43514,126.45405,Hand Line
2020,-8.437765,126.461345,Hand Line
2020,-8.42449,126.44739,Hand Line
2020,-8.43639,126.4557,Hand Line
2020,-8.4193,126.42883,Hand Line
2020,-8.43628,126.45626,Hand Line
2020,-8.42357,126.44047,Hand Line
